year,title,category,album,artist,album_id,large_image,med_image,small_image
2019,62nd Annual GRAMMY Awards  (2019),Album Of The Year,"When We All Fall Asleep, Where Do We Go?",Billie Eilish,0S0KGZnfBGSIssfF54WSJh,https://i.scdn.co/image/ab67616d0000b27350a3147b4edd7701a876c6ce,https://i.scdn.co/image/ab67616d00001e0250a3147b4edd7701a876c6ce,https://i.scdn.co/image/ab67616d0000485150a3147b4edd7701a876c6ce
2018,61st Annual GRAMMY Awards  (2018),Album Of The Year,Golden Hour,Kacey Musgraves,7f6xPqyaolTiziKf5R5Z0c,https://i.scdn.co/image/ab67616d0000b2732e35d25eb7288830d5540484,https://i.scdn.co/image/ab67616d00001e022e35d25eb7288830d5540484,https://i.scdn.co/image/ab67616d000048512e35d25eb7288830d5540484
2017,60th Annual GRAMMY Awards  (2017),Album Of The Year,24K Magic,Bruno Mars,4PgleR09JVnm3zY1fW3XBA,https://i.scdn.co/image/ab67616d0000b273232711f7d66a1e19e89e28c5,https://i.scdn.co/image/ab67616d00001e02232711f7d66a1e19e89e28c5,https://i.scdn.co/image/ab67616d00004851232711f7d66a1e19e89e28c5
2016,59th Annual GRAMMY Awards  (2016),Album Of The Year,25,Adele,0K4pIOOsfJ9lK8OjrZfXzd,https://i.scdn.co/image/ab67616d0000b2734c3bbcff5e7248e415548f12,https://i.scdn.co/image/ab67616d00001e024c3bbcff5e7248e415548f12,https://i.scdn.co/image/ab67616d000048514c3bbcff5e7248e415548f12
2015,58th Annual GRAMMY Awards  (2015),Album Of The Year,1989,Taylor Swift,2QJmrSgbdM35R67eoGQo4j,https://i.scdn.co/image/ab67616d0000b273c79b600289a80aaef74d155d,https://i.scdn.co/image/ab67616d00001e02c79b600289a80aaef74d155d,https://i.scdn.co/image/ab67616d00004851c79b600289a80aaef74d155d
2014,57th Annual GRAMMY Awards  (2014),Album Of The Year,Morning Phase,Beck,2Qx7dgA5VjX8JDQaXVxzHu,https://i.scdn.co/image/ab67616d0000b273f585024d184f024efbd5d3a1,https://i.scdn.co/image/ab67616d00001e02f585024d184f024efbd5d3a1,https://i.scdn.co/image/ab67616d00004851f585024d184f024efbd5d3a1
2013,56th Annual GRAMMY Awards  (2013),Album Of The Year,Random Access Memories,Daft Punk,4m2880jivSbbyEGAKfITCa,https://i.scdn.co/image/ab67616d0000b2731d97ca7376f835055f828139,https://i.scdn.co/image/ab67616d00001e021d97ca7376f835055f828139,https://i.scdn.co/image/ab67616d000048511d97ca7376f835055f828139
2012,55th Annual GRAMMY Awards  (2012),Album Of The Year,Babel,Mumford & Sons,4Blt0T4LKGdWreILkYZre3,https://i.scdn.co/image/ab67616d0000b273e5d3f32e37004060183a5fc5,https://i.scdn.co/image/ab67616d00001e02e5d3f32e37004060183a5fc5,https://i.scdn.co/image/ab67616d00004851e5d3f32e37004060183a5fc5
2011,54th Annual GRAMMY Awards  (2011),Album Of The Year,21,Adele,1azUkThwd2HfUDdeNeT147,https://i.scdn.co/image/ab67616d0000b2736d4056466fc11f6408be2566,https://i.scdn.co/image/ab67616d00001e026d4056466fc11f6408be2566,https://i.scdn.co/image/ab67616d000048516d4056466fc11f6408be2566
2010,53rd Annual GRAMMY Awards  (2010),Album Of The Year,The Suburbs,Arcade Fire,3DrgM5X3yX1JP1liNLAOHI,https://i.scdn.co/image/ab67616d0000b273532391d63cfd6d32677f7af6,https://i.scdn.co/image/ab67616d00001e02532391d63cfd6d32677f7af6,https://i.scdn.co/image/ab67616d00004851532391d63cfd6d32677f7af6
2009,52nd Annual GRAMMY Awards  (2009),Album Of The Year,Fearless,Taylor Swift,2dqn5yOQWdyGwOpOIi9O4x,https://i.scdn.co/image/ab67616d0000b2737b25c072237f29ee50025fdc,https://i.scdn.co/image/ab67616d00001e027b25c072237f29ee50025fdc,https://i.scdn.co/image/ab67616d000048517b25c072237f29ee50025fdc
2008,51st Annual GRAMMY Awards  (2008),Album Of The Year,Raising Sand,Robert Plant & Alison Krauss,54GfJ3ZEY2b6PKmvETmj1n,https://i.scdn.co/image/ab67616d0000b273a181a1b7cfa51375ae7b2a97,https://i.scdn.co/image/ab67616d00001e02a181a1b7cfa51375ae7b2a97,https://i.scdn.co/image/ab67616d00004851a181a1b7cfa51375ae7b2a97
2007,50th Annual GRAMMY Awards  (2007),Album Of The Year,River: The Joni Letters,Herbie Hancock,3GwR5VxaMzB01ay6qIT3Yq,https://i.scdn.co/image/ab67616d0000b273470c84db4973aa3d28ad692e,https://i.scdn.co/image/ab67616d00001e02470c84db4973aa3d28ad692e,https://i.scdn.co/image/ab67616d00004851470c84db4973aa3d28ad692e
2006,49th Annual GRAMMY Awards  (2006),Album Of The Year,Taking The Long Way,Dixie Chicks,2NeJdEWras0uSuzLPlJZk5,https://i.scdn.co/image/ab67616d0000b27389ccaf21947f7929189654dc,https://i.scdn.co/image/ab67616d00001e0289ccaf21947f7929189654dc,https://i.scdn.co/image/ab67616d0000485189ccaf21947f7929189654dc
2005,48th Annual GRAMMY Awards  (2005),Album Of The Year,How To Dismantle An Atomic Bomb,U2,5PQPur1PEZFDkI0AXbxFlB,https://i.scdn.co/image/ab67616d0000b273c1c82c472d758f4945ac15a8,https://i.scdn.co/image/ab67616d00001e02c1c82c472d758f4945ac15a8,https://i.scdn.co/image/ab67616d00004851c1c82c472d758f4945ac15a8
2004,47th Annual GRAMMY Awards  (2004),Album Of The Year,Genius Loves Company,Ray Charles & Various Artists,N/A,N/A,N/A,N/A
2003,46th Annual GRAMMY Awards  (2003),Album Of The Year,Speakerboxxx/The Love Below,OutKast,1UsmQ3bpJTyK6ygoOOjG1r,https://i.scdn.co/image/ab67616d0000b2736a6387ab37f64034cdc7b367,https://i.scdn.co/image/ab67616d00001e026a6387ab37f64034cdc7b367,https://i.scdn.co/image/ab67616d000048516a6387ab37f64034cdc7b367
2002,45th Annual GRAMMY Awards  (2002),Album Of The Year,Come Away With Me,Norah Jones,1JvoMzqg04nC29gam4Qaiq,https://i.scdn.co/image/ab67616d0000b2737862811f80ae629373954f0d,https://i.scdn.co/image/ab67616d00001e027862811f80ae629373954f0d,https://i.scdn.co/image/ab67616d000048517862811f80ae629373954f0d
2001,44th Annual GRAMMY Awards  (2001),Album Of The Year,"O Brother, Where Art Thou? - Soundtrack",(Various Artists),7gzX88qS3Vx2r87g5pbdfJ,https://i.scdn.co/image/ab67616d0000b273a7e90e0f6a18e36a594d39c2,https://i.scdn.co/image/ab67616d00001e02a7e90e0f6a18e36a594d39c2,https://i.scdn.co/image/ab67616d00004851a7e90e0f6a18e36a594d39c2
2000,43rd Annual GRAMMY Awards  (2000),Album Of The Year,Two Against Nature,Steely Dan,2MJc2N3eFVT0ZabBN4zc32,https://i.scdn.co/image/ab67616d0000b273f5e9d575b1727f2ce6fec86e,https://i.scdn.co/image/ab67616d00001e02f5e9d575b1727f2ce6fec86e,https://i.scdn.co/image/ab67616d00004851f5e9d575b1727f2ce6fec86e
1999,42nd Annual GRAMMY Awards  (1999),Album Of The Year,Supernatural,Santana,10aiDpdFGyfCFEcqpx6XTq,https://i.scdn.co/image/ab67616d0000b27347eb3ea5a92904c19e102e54,https://i.scdn.co/image/ab67616d00001e0247eb3ea5a92904c19e102e54,https://i.scdn.co/image/ab67616d0000485147eb3ea5a92904c19e102e54
1998,41st Annual GRAMMY Awards  (1998),Album Of The Year,The Miseducation Of Lauryn Hill,Lauryn Hill,1BZoqf8Zje5nGdwZhOjAtD,https://i.scdn.co/image/ab67616d0000b273e08b1250db5f75643f1508c9,https://i.scdn.co/image/ab67616d00001e02e08b1250db5f75643f1508c9,https://i.scdn.co/image/ab67616d00004851e08b1250db5f75643f1508c9
1997,40th Annual GRAMMY Awards  (1997),Album Of The Year,Time Out Of Mind,Bob Dylan,185DHT5SvszXRrezx3lOjt,https://i.scdn.co/image/ab67616d0000b273fa4240ed863bbd8bec6e9c34,https://i.scdn.co/image/ab67616d00001e02fa4240ed863bbd8bec6e9c34,https://i.scdn.co/image/ab67616d00004851fa4240ed863bbd8bec6e9c34
1996,39th Annual GRAMMY Awards  (1996),Album Of The Year,Falling Into You,Celine Dion,2vk0n8aeQSO74VtQBbNDPR,https://i.scdn.co/image/ab67616d0000b273a78dd7478332da7edf61863e,https://i.scdn.co/image/ab67616d00001e02a78dd7478332da7edf61863e,https://i.scdn.co/image/ab67616d00004851a78dd7478332da7edf61863e
1995,38th Annual GRAMMY Awards  (1995),Album Of The Year,Jagged Little Pill,Alanis Morissette,5Ap3F8CxjjsQKZGASDcHNA,https://i.scdn.co/image/ab67616d0000b273d3f19b530a225f714dccc43e,https://i.scdn.co/image/ab67616d00001e02d3f19b530a225f714dccc43e,https://i.scdn.co/image/ab67616d00004851d3f19b530a225f714dccc43e
1994,37th Annual GRAMMY Awards  (1994),Album Of The Year,MTV Unplugged,Tony Bennett,2y2RzWSrqQsOZwGlhkPp6D,https://i.scdn.co/image/ab67616d0000b273139d3930bb3e3a44b472820f,https://i.scdn.co/image/ab67616d00001e02139d3930bb3e3a44b472820f,https://i.scdn.co/image/ab67616d00004851139d3930bb3e3a44b472820f
1993,36th Annual GRAMMY Awards  (1993),Album Of The Year,The Bodyguard - Original Soundtrack Album,Whitney Houston,7JVJlkNNobS0GSoy4tCS96,https://i.scdn.co/image/ab67616d0000b273456c0b5d0316a80dc600802e,https://i.scdn.co/image/ab67616d00001e02456c0b5d0316a80dc600802e,https://i.scdn.co/image/ab67616d00004851456c0b5d0316a80dc600802e
1992,35th Annual GRAMMY Awards  (1992),Album Of The Year,Unplugged,Eric Clapton,3ebyEGol0Abc7VAxYf7vEg,https://i.scdn.co/image/ab67616d0000b273d55ec7fcfacd95e73877b787,https://i.scdn.co/image/ab67616d00001e02d55ec7fcfacd95e73877b787,https://i.scdn.co/image/ab67616d00004851d55ec7fcfacd95e73877b787
1991,34th Annual GRAMMY Awards  (1991),Album Of The Year,Unforgettable With Love,Natalie Cole,3Z4DrrPcAsTWOhDelLNwrK,https://i.scdn.co/image/ab67616d0000b273580e35f4899ddf291f503fe0,https://i.scdn.co/image/ab67616d00001e02580e35f4899ddf291f503fe0,https://i.scdn.co/image/ab67616d00004851580e35f4899ddf291f503fe0
1990,33rd Annual GRAMMY Awards  (1990),Album Of The Year,Back On The Block,Quincy Jones (And Various Artists),5DR4gcd3fj3E6XhbPTaF82,https://i.scdn.co/image/ab67616d0000b2733d916873fc3831d3f7d5e306,https://i.scdn.co/image/ab67616d00001e023d916873fc3831d3f7d5e306,https://i.scdn.co/image/ab67616d000048513d916873fc3831d3f7d5e306
1989,32nd Annual GRAMMY Awards  (1989),Album Of The Year,Nick Of Time,Bonnie Raitt,6wxpS5o0ty5CLqyH5fIRln,https://i.scdn.co/image/ab67616d0000b273245c235e7ecf5e8c6969759f,https://i.scdn.co/image/ab67616d00001e02245c235e7ecf5e8c6969759f,https://i.scdn.co/image/ab67616d00004851245c235e7ecf5e8c6969759f
1988,31st Annual GRAMMY Awards  (1988),Album Of The Year,Faith,George Michael,34K1Kvskt9arWy8E1Gz3Lw,https://i.scdn.co/image/ab67616d0000b273b7a9a6a2bf311630d3fc6956,https://i.scdn.co/image/ab67616d00001e02b7a9a6a2bf311630d3fc6956,https://i.scdn.co/image/ab67616d00004851b7a9a6a2bf311630d3fc6956
1987,30th Annual GRAMMY Awards  (1987),Album Of The Year,The Joshua Tree,U2,5y6wlw1LnqFnQFruMeiwGU,https://i.scdn.co/image/ab67616d0000b273b7bea3d01f04e6d0408d2afe,https://i.scdn.co/image/ab67616d00001e02b7bea3d01f04e6d0408d2afe,https://i.scdn.co/image/ab67616d00004851b7bea3d01f04e6d0408d2afe
1986,29th Annual GRAMMY Awards  (1986),Album Of The Year,Graceland,Paul Simon,6WgGWYw6XXQyLTsWt7tXky,https://i.scdn.co/image/ab67616d0000b27309880a7b8636c5a0615dc0c8,https://i.scdn.co/image/ab67616d00001e0209880a7b8636c5a0615dc0c8,https://i.scdn.co/image/ab67616d0000485109880a7b8636c5a0615dc0c8
1985,28th Annual GRAMMY Awards  (1985),Album Of The Year,No Jacket Required,Phil Collins,1rVhockt4RAiZFaK3M3zPB,https://i.scdn.co/image/ab67616d0000b27379553c4dcec1846d3a5c49ab,https://i.scdn.co/image/ab67616d00001e0279553c4dcec1846d3a5c49ab,https://i.scdn.co/image/ab67616d0000485179553c4dcec1846d3a5c49ab
1984,27th Annual GRAMMY Awards  (1984),Album Of The Year,Can't Slow Down,Lionel Richie,3alZBOvPaK3hgMEEymw4Yr,https://i.scdn.co/image/ab67616d0000b2737ebe4ccb79ca0dc76356b9bb,https://i.scdn.co/image/ab67616d00001e027ebe4ccb79ca0dc76356b9bb,https://i.scdn.co/image/ab67616d000048517ebe4ccb79ca0dc76356b9bb
1983,26th Annual GRAMMY Awards  (1983),Album Of The Year,Thriller,Michael Jackson,1C2h7mLntPSeVYciMRTF4a,https://i.scdn.co/image/ab67616d0000b2734121faee8df82c526cbab2be,https://i.scdn.co/image/ab67616d00001e024121faee8df82c526cbab2be,https://i.scdn.co/image/ab67616d000048514121faee8df82c526cbab2be
1982,25th Annual GRAMMY Awards  (1982),Album Of The Year,Toto IV,Toto,62U7xIHcID94o20Of5ea4D,https://i.scdn.co/image/ab67616d0000b2734a052b99c042dc15f933145b,https://i.scdn.co/image/ab67616d00001e024a052b99c042dc15f933145b,https://i.scdn.co/image/ab67616d000048514a052b99c042dc15f933145b
1981,24th Annual GRAMMY Awards  (1981),Album Of The Year,Double Fantasy,John Lennon & Yoko Ono,1NWA2fPLUAW5df7UGI5thp,https://i.scdn.co/image/ab67616d0000b2730488a5c4e21edc24526652ae,https://i.scdn.co/image/ab67616d00001e020488a5c4e21edc24526652ae,https://i.scdn.co/image/ab67616d000048510488a5c4e21edc24526652ae
1980,23rd Annual GRAMMY Awards  (1980),Album Of The Year,Christopher Cross,Christopher Cross,2m2nl8cBT7bEgIA6LLmgah,https://i.scdn.co/image/ab67616d0000b2733414ea69249376598e7d1700,https://i.scdn.co/image/ab67616d00001e023414ea69249376598e7d1700,https://i.scdn.co/image/ab67616d000048513414ea69249376598e7d1700
