year,title,published_at,updated_at,category,nominee,album_id
2019,62nd Annual GRAMMY Awards (2019),2020-05-19T05:10:28-07:00,2020-05-19T05:10:28-07:00,Album Of The Year,"When We All Fall Asleep, Where Do We Go?",
2018,61st Annual GRAMMY Awards (2018),2018-12-06T23:48:49-08:00,2019-09-10T01:06:11-07:00,Album Of The Year,Golden Hour,
2017,60th Annual GRAMMY Awards (2017),2018-05-22T03:08:24-07:00,2019-09-10T01:06:11-07:00,Album Of The Year,24K Magic,
2016,59th Annual GRAMMY Awards (2016),2017-11-28T00:03:45-08:00,2019-09-10T01:06:11-07:00,Album Of The Year,25,
2015,58th Annual GRAMMY Awards (2015),2017-11-28T00:03:45-08:00,2019-09-10T01:09:02-07:00,Album Of The Year,1989,
2014,57th Annual GRAMMY Awards (2014),2017-11-28T00:03:45-08:00,2020-09-01T12:16:40-07:00,Album Of The Year,Morning Phase,
2013,56th Annual GRAMMY Awards (2013),2017-11-28T00:03:45-08:00,2019-09-10T01:06:59-07:00,Album Of The Year,Random Access Memories,
2012,55th Annual GRAMMY Awards (2012),2017-11-28T00:03:45-08:00,2019-09-10T01:06:11-07:00,Album Of The Year,Babel,
2011,54th Annual GRAMMY Awards (2011),2017-11-28T00:03:45-08:00,2019-09-10T01:07:37-07:00,Album Of The Year,21,
2010,53rd Annual GRAMMY Awards (2010),2017-11-28T00:03:45-08:00,2019-09-10T01:08:19-07:00,Album Of The Year,The Suburbs,
2009,52nd Annual GRAMMY Awards (2009),2017-11-28T00:03:45-08:00,2019-09-10T01:08:19-07:00,Album Of The Year,Fearless,
2008,51st Annual GRAMMY Awards (2008),2017-11-28T00:03:45-08:00,2019-09-10T01:07:37-07:00,Album Of The Year,Raising Sand,
2007,50th Annual GRAMMY Awards (2007),2017-11-28T00:03:45-08:00,2019-09-10T01:06:59-07:00,Album Of The Year,River: The Joni Letters,
2006,49th Annual GRAMMY Awards (2006),2017-11-28T00:03:45-08:00,2019-09-10T01:11:09-07:00,Album Of The Year,Taking The Long Way,
2005,48th Annual GRAMMY Awards (2005),2017-11-28T00:03:45-08:00,2017-11-28T00:03:45-08:00,Album Of The Year,How To Dismantle An Atomic Bomb,
2004,47th Annual GRAMMY Awards (2004),2017-11-28T00:03:45-08:00,2019-09-10T01:08:19-07:00,Album Of The Year,Genius Loves Company,
2003,46th Annual GRAMMY Awards (2003),2017-11-28T00:03:45-08:00,2019-09-10T01:07:37-07:00,Album Of The Year,Speakerboxxx/The Love Below,
2002,45th Annual GRAMMY Awards (2002),2017-11-28T00:03:45-08:00,2019-09-10T01:06:59-07:00,Album Of The Year,Come Away With Me,
2001,44th Annual GRAMMY Awards (2001),2017-11-28T00:03:45-08:00,2019-09-10T01:06:11-07:00,Album Of The Year,"O Brother, Where Art Thou? - Soundtrack",
2000,43rd Annual GRAMMY Awards (2000),2017-11-28T00:03:45-08:00,2019-09-10T01:11:09-07:00,Album Of The Year,Two Against Nature,
1999,42nd Annual GRAMMY Awards (1999),2017-11-28T00:03:45-08:00,2019-09-10T01:09:02-07:00,Album Of The Year,Supernatural,
1998,41st Annual GRAMMY Awards (1998),2017-11-28T00:03:45-08:00,2019-09-10T01:08:19-07:00,Album Of The Year,The Miseducation Of Lauryn Hill,
1997,40th Annual GRAMMY Awards (1997),2017-11-28T00:03:45-08:00,2019-09-10T01:07:37-07:00,Album Of The Year,Time Out Of Mind,
1996,39th Annual GRAMMY Awards (1996),2017-11-28T00:03:45-08:00,2019-09-10T01:06:11-07:00,Album Of The Year,Falling Into You,
1995,38th Annual GRAMMY Awards (1995),2017-11-28T00:03:45-08:00,2019-09-10T01:11:09-07:00,Album Of The Year,Jagged Little Pill,
1994,37th Annual GRAMMY Awards (1994),2017-11-28T00:03:45-08:00,2019-09-10T01:09:02-07:00,Album Of The Year,MTV Unplugged,
1993,36th Annual GRAMMY Awards (1993),2017-11-28T00:03:45-08:00,2019-09-10T01:08:19-07:00,Album Of The Year,The Bodyguard - Original Soundtrack Album,
1992,35th Annual GRAMMY Awards (1992),2017-11-28T00:03:45-08:00,2019-09-10T01:07:37-07:00,Album Of The Year,Unplugged,
1991,34th Annual GRAMMY Awards (1991),2017-11-28T00:03:45-08:00,2019-09-10T01:06:59-07:00,Album Of The Year,Unforgettable With Love,
1990,33rd Annual GRAMMY Awards (1990),2017-11-28T00:03:45-08:00,2019-09-10T01:11:09-07:00,Album Of The Year,Back On The Block,
1989,32nd Annual GRAMMY Awards (1989),2017-11-28T00:03:45-08:00,2019-09-10T01:09:02-07:00,Album Of The Year,Nick Of Time,
1988,31st Annual GRAMMY Awards (1988),2017-11-28T00:03:45-08:00,2019-09-10T01:08:19-07:00,Album Of The Year,Faith,
1987,30th Annual GRAMMY Awards (1987),2017-11-28T00:03:45-08:00,2019-09-10T01:07:37-07:00,Album Of The Year,The Joshua Tree,
1986,29th Annual GRAMMY Awards (1986),2017-11-28T00:03:45-08:00,2019-09-10T01:06:59-07:00,Album Of The Year,Graceland,
1985,28th Annual GRAMMY Awards (1985),2017-11-28T00:03:45-08:00,2019-09-10T01:06:11-07:00,Album Of The Year,No Jacket Required,
1984,27th Annual GRAMMY Awards (1984),2017-11-28T00:03:45-08:00,2019-09-10T01:11:09-07:00,Album Of The Year,Can't Slow Down,
1983,26th Annual GRAMMY Awards (1983),2017-11-28T00:03:45-08:00,2019-09-10T01:09:02-07:00,Album Of The Year,Thriller,
1982,25th Annual GRAMMY Awards (1982),2017-11-28T00:03:45-08:00,2019-09-10T01:08:19-07:00,Album Of The Year,Toto IV,
1981,24th Annual GRAMMY Awards (1981),2017-11-28T00:03:45-08:00,2019-09-10T01:06:59-07:00,Album Of The Year,Double Fantasy,
1980,23rd Annual GRAMMY Awards (1980),2017-11-28T00:03:45-08:00,2019-09-10T01:06:11-07:00,Album Of The Year,Christopher Cross,